"whrswk","hhi","whi","hhi2","education","race","hispanic","experience","kidslt6","kids618","husby","region"
"0","no","no","no","13-15years","white","no","13","2","1","11.96","northcentral"
"50","no","yes","no","13-15years","white","no","24","0","1","1.2","northcentral"
"40","yes","no","yes","12years","white","no","43","0","0","31.275","northcentral"
"40","no","yes","yes","13-15years","white","no","17","0","1","9","northcentral"
"0","yes","no","yes","9-11years","white","no","44.5","0","0","0","northcentral"
"40","yes","yes","yes","12years","white","no","32","0","0","15.69","northcentral"
"40","yes","no","yes","16years","white","no","14","0","0","26","northcentral"
"25","no","no","no","12years","white","no","1","1","0","0.338","northcentral"
"45","no","yes","no","16years","white","no","4","0","0","10","northcentral"
"30","no","no","yes","13-15years","white","no","7","1","0","30","northcentral"
"40","no","no","no","12years","white","no","23","0","3","18","northcentral"
"32","no","no","no","16years","white","no","9","2","0","22","northcentral"
"40","no","yes","no","12years","white","no","31","0","2","19.5","northcentral"
"0","yes","no","yes","12years","white","no","20","0","2","42","northcentral"
"40","yes","no","yes","12years","white","no","35","0","0","32","northcentral"
"40","no","yes","yes","12years","white","no","20","1","0","25","northcentral"
"0","yes","no","yes","12years","white","no","33","0","0","42","northcentral"
"20","yes","no","yes","12years","white","no","9","2","0","16","northcentral"
"0","yes","no","yes","12years","white","no","21","0","2","0","northcentral"
"45","no","yes","yes","13-15years","white","no","16","0","2","36","northcentral"
"40","no","yes","no","12years","white","no","45","0","0","0","northcentral"
"30","yes","no","yes","12years","white","no","47","0","0","28","northcentral"
"40","no","yes","yes","12years","white","no","35","0","0","20","northcentral"
"22","yes","no","yes","12years","white","no","46","0","0","0","northcentral"
"17","yes","no","yes","12years","white","no","47","0","0","2.9","northcentral"
"20","yes","no","yes","13-15years","white","no","13","1","1","50","northcentral"
"0","no","no","no","12years","white","no","47","0","0","0.006","northcentral"
"40","no","yes","no",">16years","white","no","31","0","0","0","northcentral"
"45","no","no","no",">16years","white","no","31","0","0","25.464","northcentral"
"50","no","yes","no","12years","white","no","19","0","2","0","northcentral"
"0","no","no","no","12years","white","no","5","3","0","9","northcentral"
"60","no","yes","yes","16years","white","no","6","1","0","32","northcentral"
"0","no","yes","no","12years","white","no","16","1","1","38.5","northcentral"
"40","no","yes","yes","16years","white","no","13","2","0","28","northcentral"
"50","no","yes","no","12years","white","no","29","0","1","15.875","northcentral"
"42","yes","no","yes","12years","white","no","7","1","0","17.5","northcentral"
"10","yes","no","yes","13-15years","white","no","24","0","3","47","northcentral"
"40","yes","yes","yes","12years","white","no","11","1","0","30","northcentral"
"40","yes","yes","yes","12years","white","no","23","0","2","26","northcentral"
"0","no","no","no","13-15years","white","no","14","2","1","0","northcentral"
"40","no","yes","no","13-15years","white","no","10","0","5","3.44","northcentral"
"40","no","yes","yes","12years","white","no","23","0","2","27","northcentral"
"0","no","no","no","12years","white","no","24","0","0","0","northcentral"
"60","yes","no","yes","16years","white","no","31","0","0","35.007","northcentral"
"50","no","no","no","16years","white","no","19","0","2","20","northcentral"
"32","no","no","no","12years","white","no","29","0","1","21.616","northcentral"
"25","no","no","no","12years","white","no","23","0","2","0","northcentral"
"0","no","no","no","12years","white","no","46","0","0","0","northcentral"
"40","no","no","no",">16years","white","no","17","0","2","0","northcentral"
"40","yes","no","yes","12years","white","no","9","0","1","30","northcentral"
"40","yes","no","yes","12years","white","no","16","0","2","16.5","northcentral"
"0","no","no","no","12years","white","no","6","3","0","9.36","northcentral"
"22","yes","no","yes","13-15years","white","no","15","2","0","56","northcentral"
"40","yes","no","yes","16years","white","no","28","0","1","75","northcentral"
"30","yes","no","yes","13-15years","white","no","21","0","1","38","northcentral"
"0","yes","no","yes","12years","white","no","31","0","0","45","northcentral"
"45","no","yes","no","16years","white","no","18","0","2","38","northcentral"
"30","no","yes","yes","16years","white","no","39","0","0","40","northcentral"
"45","no","yes","no","16years","white","no","19","0","0","28","northcentral"
"0","yes","no","yes","13-15years","white","no","20","0","4","52","northcentral"
